concurrency,tp2_dspark_native_c32_aggregate_tok_s,tp2_dflash_all_eager_aggregate_tok_s,tp2_dflash_target_graph_draft_eager_aggregate_tok_s,tp2_target_cuda_graph_aggregate_tok_s,pp2_target_cuda_graph_aggregate_tok_s
1,71.95006361259438,26.262568137731055,26.94941125805384,26.33315798743502,17.10116409025457
2,100.80987663572262,39.560360836069144,39.18990490170604,40.518111513890894,27.60605323441292
4,140.3614416904292,55.358133474525296,50.454300429001044,65.07734184907201,40.60539426457099
8,188.80200440925435,80.20226507952543,70.31253499345726,93.34070153968906,57.80314541673579
16,283.9417474775657,112.68945207654748,101.14692959041415,130.74144591071584,80.08449887023968
32,381.7702357451773,161.5238178356004,136.8234066620349,189.1614777765994,109.59239626200008
