label,batch_size,repeats,requests,successful,batch_wall_s_total,reported_prompt_tokens_total,completion_tokens_total,aggregate_prompt_tokens_per_s,aggregate_output_tokens_per_s,aggregate_output_tokens_per_s_per_user,request_output_tokens_per_s_after_first_mean,request_output_tokens_per_s_after_first_p50,request_output_tokens_per_s_after_first_p95,request_output_tokens_per_s_e2e_mean,ttft_mean_s,ttft_p50_s,ttft_p95_s,e2e_p50_s,e2e_p95_s,prompt_tokens_min,prompt_tokens_max,completion_tokens_min,completion_tokens_max,finish_reason_counts
tp2-dspark-official-nvfp4-k5-c32-fixed1024,1,1,1,1,14.232093045999136,1029,1024,72.30138228257775,71.95006361259438,71.95006361259438,73.54038233656736,73.54038233656736,73.54038233656736,71.95123795912544,0.32113623500117683,0.32113623500117683,0.32113623500117683,14.231860758000039,14.231860758000039,1029,1029,1024,1024,"{""tool_calls"": 1}"
tp2-dspark-official-nvfp4-k5-c32-fixed1024,2,1,2,2,20.315469757000756,2059,2048,101.35133593405902,100.80987663572262,50.40493831786131,53.2234174871425,53.2234174871425,54.71659088670935,51.98811017040771,0.47548625800027366,0.47548625800027366,0.4756569340001988,19.715043940499527,20.254635592949853,1029,1030,1024,1024,"{""tool_calls"": 2}"
tp2-dspark-official-nvfp4-k5-c32-fixed1024,4,1,4,4,29.181803425999533,4114,4096,140.97826443223283,140.3614416904292,35.0903604226073,36.80991888113928,36.86849283298899,37.30973886540966,35.87492390021972,0.7573070700004791,0.9011763800008339,0.9013123840014488,28.605095647500093,29.139238620800004,1027,1030,1024,1024,"{""tool_calls"": 4}"
tp2-dspark-official-nvfp4-k5-c32-fixed1024,8,1,8,8,43.38936986199951,8230,8192,189.6777949570512,188.80200440925435,23.600250551156794,26.344778271848398,26.516956379305782,28.058283476852445,25.399634161870956,1.4814177388752796,1.4814358510011516,1.481884259150138,40.06116760399982,42.99486466135013,1027,1030,1024,1024,"{""tool_calls"": 8}"
tp2-dspark-official-nvfp4-k5-c32-fixed1024,16,1,16,16,57.70197635800105,16457,16384,285.2068687889587,283.9417474775657,17.746359217347855,19.651236023457976,19.532915342484603,21.161099838075835,18.956725861973762,1.9565290521874203,1.956680826999218,1.9574867779997476,54.329878811000526,56.975834634000876,1027,1031,1024,1024,"{""tool_calls"": 16}"
tp2-dspark-official-nvfp4-k5-c32-fixed1024,32,1,32,32,85.83173053300015,32910,32768,383.42463557048904,381.7702357451773,11.93031986703679,14.541660248454782,14.68035881102026,15.628985326851883,13.82218830095716,3.6692916066251655,3.990262735000215,3.991176902800271,73.67508863449984,82.43297504225092,1026,1031,1024,1024,"{""tool_calls"": 32}"
